,Date,Open*,High,Low,Close**,Volume,Market Cap
91,"Mar 19, 2017",976.73,1069.91,976.73,1036.74,"406,648,000","16,821,676,707"
92,"Mar 12, 2017",1176.62,1226.98,1175.36,1221.38,"227,176,000","19,801,195,767"
93,"Mar 05, 2017",1254.29,1267.29,1238.06,1267.12,"134,127,000","20,526,235,270"
94,"Feb 26, 2017",1144.27,1167.47,1130.20,1165.20,"116,486,000","18,860,247,630"
95,"Feb 19, 2017",1054.76,1056.81,1043.46,1047.87,"77,423,296","16,946,913,346"
96,"Feb 12, 2017",1003.52,1004.76,996.92,999.18,"67,530,000","16,146,290,349"
97,"Feb 05, 2017",1043.52,1043.63,1022.37,1027.34,"114,208,000","16,588,240,157"
98,"Jan 29, 2017",922.07,923.42,919.15,919.50,"60,851,700","14,834,377,926"
99,"Jan 22, 2017",922.21,937.53,897.56,924.67,"116,573,000","14,905,439,337"
100,"Jan 15, 2017",818.14,823.31,812.87,821.80,"71,013,600","13,234,840,657"
101,"Jan 08, 2017",908.17,942.72,887.25,911.20,"158,715,008","14,661,966,429"
102,"Jan 01, 2017",963.66,1003.08,958.70,998.33,"147,775,008","16,050,407,461"
103,"Dec 25, 2016",899.65,899.65,862.42,896.18,"143,664,992","14,396,194,094"
104,"Dec 18, 2016",791.01,794.74,788.03,790.53,"60,524,400","12,688,510,068"
105,"Dec 11, 2016",774.75,774.80,765.41,769.73,"57,313,400","12,344,888,048"
106,"Dec 04, 2016",771.64,773.87,768.16,773.87,"60,557,900","12,400,766,376"
107,"Nov 27, 2016",735.44,739.02,731.09,732.03,"52,601,800","11,720,648,987"
108,"Nov 20, 2016",751.88,755.48,717.94,731.03,"154,116,000","11,695,081,878"
109,"Nov 13, 2016",705.20,705.26,687.32,702.03,"80,318,096","11,215,181,107"
110,"Nov 06, 2016",703.81,714.26,699.56,711.52,"59,902,200","11,357,385,316"
111,"Oct 30, 2016",714.12,714.12,696.47,701.86,"100,665,000","11,194,834,676"
112,"Oct 23, 2016",657.62,661.13,653.89,657.07,"54,474,600","10,472,100,602"
113,"Oct 16, 2016",639.08,642.90,638.90,641.63,"40,298,100","10,218,348,388"
